t,f1,precision,recall,accuracy,auc,dp_diff_max
0.75,0.5891336270190896,0.9400187441424555,0.42899914456800686,0.8567918927218753,0.9321370523846476,0.17290592325170323
0.76,0.5781203676252594,0.9420289855072463,0.4170230966638152,0.8543351417750026,0.9321370523846476,0.16825656253880125
0.77,0.5675756667665568,0.9479479479479479,0.4050470487596236,0.8522878493192753,0.9321370523846476,0.1597327345651476
0.78,0.5590099607606399,0.9497435897435897,0.3960650128314799,0.8504452861091207,0.9321370523846476,0.15702060748262148
0.79,0.5455100794135614,0.9540598290598291,0.3819503849443969,0.8476814412938888,0.9321370523846476,0.1523712467697195
0.8,0.5367805478608803,0.9571899012074643,0.3729683490162532,0.8459412427065206,0.9321370523846476,0.14784231134699427
0.81,0.5289922480620155,0.9616685456595265,0.36484174508126604,0.8445081379875116,0.9321370523846476,0.14292592919819386
0.82,0.5192367844854551,0.9662398137369034,0.3550042771599658,0.8426655747773569,0.9321370523846476,0.13556444140276575
0.83,0.510236220472441,0.967741935483871,0.34644995722840033,0.8408230115672024,0.9321370523846476,0.1305276339637886
0.84,0.5034832172260925,0.9695121951219512,0.34003421727972627,0.8394922714709796,0.9321370523846476,0.12793593217143917
0.85,0.4961783439490446,0.9713216957605985,0.3331907613344739,0.8380591667519706,0.9321370523846476,0.125223805088913
0.86,0.4892593780057711,0.9769526248399488,0.3263473053892216,0.8369331559013206,0.9321370523846476,0.12134933782816139
0.87,0.48226950354609927,0.9790575916230366,0.31993156544054746,0.8356024158050978,0.9321370523846476,0.11863721074563523
0.88,0.472880805456317,0.9824561403508771,0.31137724550898205,0.8338622172177296,0.9321370523846476,0.11643295567936097
0.89,0.46455406729826854,0.983402489626556,0.3041060735671514,0.8322243832531477,0.9321370523846476,0.1129459351446845
0.9,0.45896257386736705,0.9872881355932204,0.29897348160821213,0.8313031016480704,0.9321370523846476,0.10907146788393285
0.91,0.44958677685950416,0.9898107714701602,0.290846877673225,0.8295629030607022,0.9321370523846476,0.10403466044495571
0.92,0.44341188184533686,0.9896296296296296,0.2857142857142857,0.8283345275872659,0.9321370523846476,0.10209742681457988
0.93,0.43695797198132086,0.9924242424242424,0.28015397775876816,0.8272085167366158,0.9321370523846476,0.10054763991027924
0.94,0.4306764902880107,0.9922839506172839,0.27502138579982893,0.8259801412631794,0.9321370523846476,0.09950572502223047
0.95,0.4227532817233255,0.9921011058451816,0.2686056458511548,0.8244446719213839,0.9321370523846476,0.09756849139185464
